Dataset title / Calibration periods / Tail length / period length / Min invest (-99 vai 0 vai 0.1);Meginajums1;4176;9999;23;-95;
Timeseries title (15char):;PE MARKET w;EQUITY LM SNP;REX BOND;;;
Comments (bez koliem):;EQUAL WEIGHTS;S&P GERMANY :LM - TOT RETURN IND;REX BOND SUB INDEX CURRENT 1 YR ;;;
30.06.1999;0.090340372;0.007623487;0.000241908;;;
01.07.1999;0.12202265;0.004288767;-0.000173647;;;
02.07.1999;-0.000985222;0.010623951;0.000154731;;;
05.07.1999;0.016949057;-0.001151516;-8.24265E-05;;;
06.07.1999;0.001125388;-0.004591584;4.95478E-05;;;
07.07.1999;-0.12808057;0.002256842;-2.77011E-05;;;
08.07.1999;0.000236587;0.005713527;0.000124979;;;
09.07.1999;0.12704952;-0.001045395;8.78092E-06;;;
12.07.1999;-0.122028572;-0.006924975;0.000145872;;;
13.07.1999;0.123019837;0.006445923;0.000189021;;;
14.07.1999;-0.001124877;0.002179316;0.000293944;;;
15.07.1999;-0.151480108;-0.00406724;-0.000572779;;;
16.07.1999;0.127790735;0.002511703;-9.45609E-05;;;
19.07.1999;-0.004492101;-0.010534125;4.18795E-05;;;
20.07.1999;-0.211801108;-0.006804308;0.000301818;;;
21.07.1999;-0.005649634;-0.004998307;0.000178606;;;
22.07.1999;0.220468615;-0.001867229;-0.000186481;;;
23.07.1999;-0.12988929;-0.009843565;8.81893E-05;;;
26.07.1999;0.1199242;0.001034092;5.96076E-05;;;
27.07.1999;-0.123595397;0.000624073;2.29411E-05;;;
28.07.1999;0.300617103;-0.015367623;-3.37374E-05;;;
29.07.1999;-0.002543342;0.002601389;5.69022E-05;;;
30.07.1999;-0.131706386;0.001811745;-0.000297188;;;
02.08.1999;-0.016440523;-0.000689298;-4.79381E-05;;;
03.08.1999;0.099851735;0.001917472;0.000162698;;;
04.08.1999;-0.13178541;-0.012012002;3.21723E-05;;;
05.08.1999;-0.000518206;0.002852705;4.97162E-05;;;
06.08.1999;0.108269989;0.006181126;-0.000283301;;;
09.08.1999;-0.127028347;-0.008466825;4.52415E-05;;;
10.08.1999;0.00948313;0.001872151;0.000268426;;;
11.08.1999;-0.081640295;0.008516825;0.000150003;;;
12.08.1999;0.090202241;0.008485651;-6.40881E-05;;;
13.08.1999;-0.000261866;0.003231113;0.000112879;;;
16.08.1999;-0.002990549;0.000478416;6.24978E-05;;;
17.08.1999;0.257971088;-0.003818051;0.000368959;;;
18.08.1999;-0.34361847;-0.00349922;5.72706E-05;;;
19.08.1999;0.0011699;0.005472469;0.000147746;;;
20.08.1999;0.122948373;0.004953597;0.0001652;;;
23.08.1999;-0.094887108;0.001977541;-0.000224472;;;
24.08.1999;0.111585631;0.005797564;7.07212E-05;;;
25.08.1999;-0.07973088;-0.001436303;0.000129289;;;
26.08.1999;0.111406373;0.002647043;-0.000195519;;;
27.08.1999;-0.01764082;-0.001875753;-0.000216723;;;
30.08.1999;-0.110612237;-0.010828961;0.000100851;;;
31.08.1999;0.186331506;0.003576423;-2.38069E-05;;;
01.09.1999;-0.207125043;-0.009700479;0.000133616;;;
02.09.1999;0.124469909;0.010672931;0.00017061;;;
03.09.1999;0.091843876;0.004560337;0.000332272;;;
06.09.1999;0.142526343;-0.00049261;-7.67074E-05;;;
07.09.1999;-0.16126917;0.000949534;-8.52463E-05;;;
08.09.1999;-0.247476332;0.002929268;-5.16046E-05;;;
09.09.1999;0.278569667;0.003936685;6.75335E-05;;;
10.09.1999;0.134530315;-0.002925955;-4.82371E-05;;;
13.09.1999;-0.264668862;-0.003764387;9.04122E-05;;;
14.09.1999;-0.001619318;-0.001183828;-5.38382E-06;;;
15.09.1999;0.100848048;-0.00800762;0.000213731;;;
16.09.1999;-0.105166351;0.000394351;0.000334179;;;
17.09.1999;0.003859424;0.004302569;0.00010932;;;
20.09.1999;-0.092726349;-0.004924134;-0.000234803;;;
21.09.1999;0.187739287;-0.004666128;6.14016E-05;;;
22.09.1999;-0.12134873;0.004917252;8.15566E-05;;;
23.09.1999;-0.021028056;-0.009194254;0.00031085;;;
24.09.1999;-0.009213047;0.005556755;9.40265E-06;;;
27.09.1999;-0.089905334;-0.009235472;-0.000181149;;;
28.09.1999;0.078548693;0.001168302;8.17391E-05;;;
29.09.1999;-0.009597036;0.001532467;-2.46321E-05;;;
30.09.1999;0.130692401;-0.001692154;-0.000334238;;;
01.10.1999;-0.082986696;0.007333843;-0.000286503;;;
04.10.1999;0.250270493;0.006391472;-6.54873E-05;;;
05.10.1999;-0.143806272;0.003391183;-0.000152992;;;
06.10.1999;-0.2703886;0.004336576;6.50617E-05;;;
07.10.1999;0.416092077;-0.001734134;0.000232123;;;
08.10.1999;-0.325657875;0.001031941;-0.000139708;;;
11.10.1999;0.085925264;-0.003563522;-0.000148727;;;
12.10.1999;-0.008839931;-0.00566983;0.000110373;;;
13.10.1999;0.253616091;-0.005344934;-0.000182175;;;
14.10.1999;-0.267068322;-0.003380403;-5.96945E-05;;;
15.10.1999;0.113903472;-0.003320807;0.000237383;;;
18.10.1999;-0.105097242;0.010728066;-0.000252869;;;
19.10.1999;-0.009709222;0.000515725;-0.000151523;;;
20.10.1999;0.111746781;-0.004918231;0.000200672;;;
21.10.1999;-0.002580935;0.009152724;0.000170969;;;
22.10.1999;-0.008459339;-0.001569698;1.59268E-05;;;
25.10.1999;0.006609377;0.005869094;-0.000188018;;;
26.10.1999;0.142510936;-0.002250693;0.000189364;;;
27.10.1999;-0.246301751;0.008447254;0.00031236;;;
28.10.1999;-0.085899303;0.004369324;0.000238211;;;
29.10.1999;0.192243092;-0.000470556;-0.000164246;;;
01.11.1999;0.14352089;0.000745767;2.89101E-05;;;
02.11.1999;-0.143896616;0.001179138;8.7839E-05;;;
03.11.1999;-0.092725853;0.004481172;0.000285802;;;
04.11.1999;-0.142866281;0.002988186;0.000186252;;;
05.11.1999;-0.013386414;-1.12376E-05;0.000124198;;;
08.11.1999;0.177050624;0.001850283;0.000221679;;;
09.11.1999;0.013024815;0.004552756;1.78908E-06;;;
10.11.1999;-0.100118294;0.003540059;4.18175E-05;;;
11.11.1999;0.066933136;-0.000923587;0.000208804;;;
12.11.1999;-0.087491567;0.006337466;6.61524E-05;;;
15.11.1999;0.58230999;0.005454353;4.06698E-05;;;
16.11.1999;-0.557367881;-0.003257909;-0.000162031;;;
17.11.1999;0.078077711;0.006076696;-2.19068E-05;;;
18.11.1999;-0.006800158;-0.002797363;3.37539E-05;;;
19.11.1999;0.00348066;-0.009924191;-0.000217994;;;
22.11.1999;-0.090496478;-0.000800745;0.000119854;;;
23.11.1999;0.207281359;0.001162242;-8.58624E-05;;;
24.11.1999;-0.085822975;0.010247685;5.70199E-05;;;
25.11.1999;-0.095150832;-0.001349607;-1.47574E-05;;;
26.11.1999;0.021370792;-0.003511428;0.000111339;;;
29.11.1999;0.078445273;0.00105857;5.83408E-05;;;
30.11.1999;-0.005476547;0.004721222;0.000117775;;;
01.12.1999;-0.089470781;0.001725422;9.62973E-05;;;
02.12.1999;0.123562164;0.011279103;-0.000129146;;;
03.12.1999;-0.007519535;0.003414745;0.00014121;;;
06.12.1999;0.139438441;-0.000226131;0.000202127;;;
07.12.1999;-0.121845484;-0.003997221;-0.000133549;;;
08.12.1999;0.004218299;-0.000342557;0.00014784;;;
09.12.1999;-0.090145672;-0.001737701;3.95197E-05;;;
10.12.1999;0.098069856;0.002878507;0.000138849;;;
13.12.1999;0.015059577;0.004533494;-7.79015E-05;;;
14.12.1999;-0.111708719;0.003145521;-3.57175E-06;;;
15.12.1999;0.101312865;0.00872406;-5.82684E-05;;;
16.12.1999;-0.091087469;0.004721609;-9.04319E-05;;;
17.12.1999;0.073439447;-0.000671381;0.000131734;;;
20.12.1999;-0.008938153;0.002698958;4.21911E-05;;;
21.12.1999;0.123280164;0.003247954;0.000199961;;;
22.12.1999;-0.159084147;0.018592228;0.000167531;;;
23.12.1999;0.495978713;0;0;;;
24.12.1999;-0.492990088;0.003821083;-5.06316E-05;;;
27.12.1999;0.336883895;0.001911832;-6.75923E-05;;;
28.12.1999;-0.160988459;0.000156637;0.000324704;;;
29.12.1999;-0.266898866;0.00513758;-4.23565E-06;;;
30.12.1999;0.563097748;0;0;;;
31.12.1999;-0.377467342;-0.012626884;-4.83785E-05;;;
03.01.2000;-0.074619139;-0.011010525;-0.000157658;;;
04.01.2000;0.186468347;-0.006371988;1.60583E-05;;;
05.01.2000;-0.117893207;-0.001123307;0.000227874;;;
06.01.2000;-0.141393464;0.019685154;0.000120355;;;
07.01.2000;0.187213738;0.009887978;0.000209873;;;
10.01.2000;-0.047209411;-0.002299387;-3.16304E-05;;;
11.01.2000;0.081265062;-0.000275643;-2.09397E-05;;;
12.01.2000;0.046583612;0.004107288;0.000177287;;;
13.01.2000;0.02780822;0.012863477;0.000166753;;;
14.01.2000;-0.098326073;0.005812219;3.22746E-05;;;
17.01.2000;-0.023171519;-0.011174991;-1.55805E-05;;;
18.01.2000;0.083968586;0.001857336;3.24959E-05;;;
19.01.2000;-0.075994772;0.002425761;0.000170452;;;
20.01.2000;0.091853746;-0.007102093;0.000129019;;;
21.01.2000;0.089618464;-0.002937151;-5.1158E-05;;;
24.01.2000;-0.121020815;-0.009034384;4.62649E-05;;;
25.01.2000;0.018070969;0.008181153;2.95802E-05;;;
26.01.2000;0.02691192;0.008716134;-5.5826E-05;;;
27.01.2000;-0.073304575;-0.002760498;-0.000167966;;;
28.01.2000;0.185012306;-0.013553888;-2.62575E-05;;;
31.01.2000;-0.082318411;0.012539988;1.64668E-05;;;
