Dataset title / Calibration periods / Tail length / period length / Min invest (-99 vai 0 vai 0.1);Meginajums1;784;9999;23;-95;
Timeseries title (15char):;INDEX WITH EQUAL WEIGHTS based on market value;EQUITY LM SNP;REX BOND;;;
Comments (bez koliem):;INDEX WITH MARKET WEIGHTS;S&P GERMANY :LM - TOT RETURN IND;REX BOND SUB INDEX CURRENT 1 YR ;;mean;0.000158589
20.08.2012;-0.004283998;0.003427717;0.000249042;;;
21.08.2012;-0.001558852;-0.004741846;-0.000360898;;;
22.08.2012;0.012605946;-0.00275269;-0.000221957;;;
23.08.2012;0.002204169;-0.001401718;0.000599697;;;
24.08.2012;-0.003185412;0.002474975;-0.000229577;;;
27.08.2012;-0.002192633;-0.002124121;-0.000720608;;;
28.08.2012;-0.004649675;0.000938393;0.000116912;;;
29.08.2012;0.00053054;-0.003828841;0.000620394;;;
30.08.2012;0.001881371;0.002501986;-0.001083623;;;
31.08.2012;0.001938267;0.001151843;0.00160216;;;
03.09.2012;-0.001784849;-0.004802773;-0.001060394;;;
04.09.2012;-0.002528922;-0.000885877;-0.001199084;;;
05.09.2012;0.009086329;0.007360887;0.001821817;;;
06.09.2012;0.000925386;0.005790349;0.000619088;;;
07.09.2012;-0.002642388;-0.000627264;-0.00039936;;;
10.09.2012;-0.00309073;0.001265897;3.26052E-05;;;
11.09.2012;0.002415639;0.003020745;0.000238724;;;
12.09.2012;0.004135789;-0.001942117;6.08842E-05;;;
13.09.2012;-0.002637099;0.007355956;7.54051E-05;;;
14.09.2012;0.007047784;-0.002184056;3.36451E-05;;;
17.09.2012;-0.002564322;-0.002998286;-0.00214319;;;
18.09.2012;-0.000802094;0.001155638;0.001850696;;;
19.09.2012;-0.003865762;0.000109322;-8.96845E-05;;;
20.09.2012;0.002067422;0.00207191;0.00019618;;;
21.09.2012;-0.002487987;-0.00314202;-5.41625E-05;;;
24.09.2012;0.006316374;0.000887892;0.000243831;;;
25.09.2012;0.000988192;-0.00802001;-0.000343606;;;
26.09.2012;-0.00027368;0.002775921;-6.87231E-05;;;
27.09.2012;-0.003542117;-0.0013549;-8.4503E-05;;;
28.09.2012;-0.00381823;0.00599104;0.000285132;;;
01.10.2012;0.001193277;-0.000913522;-7.58944E-05;;;
02.10.2012;0.001349988;0.000998687;2.09641E-05;;;
03.10.2012;0.006644682;0.001602833;-6.8711E-05;;;
04.10.2012;-0.000631284;0.004857216;-4.00992E-05;;;
05.10.2012;-0.000569176;-0.003465614;5.54032E-05;;;
08.10.2012;-0.000715155;-0.001791756;1.97414E-05;;;
09.10.2012;-0.002334946;-0.002384301;1.91284E-05;;;
10.10.2012;0.003216817;0.003765091;5.86043E-05;;;
11.10.2012;0.002880211;-0.001441452;3.44244E-05;;;
12.10.2012;-0.003135049;0.00187658;-2.50913E-05;;;
15.10.2012;0.00138969;0.006058375;5.38527E-05;;;
16.10.2012;-0.002762972;0.002032444;0.000162741;;;
17.10.2012;-0.002105623;0.000947595;7.84429E-05;;;
18.10.2012;0.002617501;-0.003623845;-0.0001049;;;
19.10.2012;-0.003795763;-0.000226751;9.32882E-06;;;
22.10.2012;0.000228469;-0.007671481;1.19284E-05;;;
23.10.2012;-0.003677003;0.001516118;1.08576E-05;;;
24.10.2012;-0.005140994;0.001293606;2.0491E-05;;;
25.10.2012;-0.001217799;0.001410107;0.000110849;;;
26.10.2012;0.00125086;-0.00016849;8.43792E-05;;;
29.10.2012;-0.003734192;0.003536571;-5.53338E-05;;;
